feature,mean_rmse_with,mean_rmse_without,rmse_delta_without_minus_with,mean_diracc_with,mean_diracc_without
log_ret_vol,0.03190064443219569,0.03208365726108091,0.00018301282888522064,48.28422565576716,47.99057003602458
atr,0.031929251551647,0.032073534741890446,0.000144283190243448,48.01173793268655,48.08698876880696
bollinger_bands,0.03195419016703576,0.03206471030875289,0.00011052014171712699,48.09108875314409,48.05891078618351
volatility,0.032008410945022846,0.032045524495003606,3.711354998076066e-05,47.881482812312846,48.13307904216995
rsi,0.03210155467162582,0.03201256594559025,-8.898872603557012e-05,48.14798179422685,48.03877940241576
close,0.03211627350198589,0.03200735774407823,-0.00010891575790766134,48.1404958677686,48.041428268701
high,0.0321177977496686,0.03200681839489819,-0.0001109793547704116,48.180919870643194,48.02712439076075
open,0.03213532425845526,0.03200061670717368,-0.00013470755128157375,48.01173793268655,48.08698876880695
macd,0.03216836787604417,0.03198892435018068,-0.000179443525863493,48.143490238351895,48.040368722186905
low,0.03218335371526055,0.03198362166861181,-0.0001997320466487415,48.03569289735298,48.07851239669421
