Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
LSTM,BTC,1d,0.01913401898963027,51.24%,"['volatility', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.019165770773062592,51.24%,"['bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.019170111180276037,51.24%,"['log_ret_vol', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.0192333860002078,47.93%,"['volatility', 'log_ret_close']"
LSTM,BTC,1d,0.01923869770577548,50.00%,"['bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.019269509516084863,48.35%,['log_ret_close']
LSTM,BTC,1d,0.01927660385242973,48.76%,"['atr', 'log_ret_close']"
LSTM,BTC,1d,0.019310336865015633,51.24%,"['rsi', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.01953668425025006,44.63%,"['log_ret_vol', 'log_ret_close']"
LSTM,BTC,1d,0.019641123085165035,51.24%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.0196485804329842,51.24%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.019793787457786295,51.24%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.019903987317376998,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.019943015704780208,50.41%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.01996833083554885,51.24%,"['volatility', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.020090253667427227,51.24%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020090465402059735,51.24%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020093448476688047,51.24%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020093467685832676,51.24%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020093475155611044,51.24%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.0200944151590096,51.24%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02012540995382264,51.24%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.020131881529023368,51.24%,"['volatility', 'rsi', 'log_ret_close']"
LSTM,BTC,1d,0.02015917908826591,50.83%,"['log_ret_vol', 'rsi', 'log_ret_close']"
LSTM,BTC,1d,0.0201894313097975,51.24%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.02020246616289804,49.17%,"['rsi', 'log_ret_close']"
LSTM,BTC,1d,0.020265317861282686,51.24%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020296716682131566,51.24%,"['log_ret_vol', 'volatility', 'log_ret_close']"
LSTM,BTC,1d,0.020348850160596798,47.93%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020378267028373517,53.31%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020544192091866205,51.24%,"['rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.020729082413171635,48.76%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.020799226221510002,50.41%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02089833719661667,50.00%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02114694435442562,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.021175820056161858,49.59%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02171757172708274,52.07%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.021719210543297937,50.41%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.021774299880156032,47.93%,"['macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.021815308292580222,56.20%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.02204871020182429,53.72%,"['volatility', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.022151036797763556,50.00%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.0221569520098068,56.20%,"['log_ret_vol', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.02221835958584392,48.76%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
LSTM,BTC,1d,0.022431196212364113,53.72%,"['macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.02262291683958647,51.24%,"['volatility', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02275055469905654,50.00%,"['rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.022878073422269225,52.07%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.023142145468708665,50.41%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.023685385804696986,58.68%,"['volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.024250619736531216,57.85%,"['log_ret_vol', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.024261384932194763,53.31%,"['macd', 'log_ret_close']"
LSTM,BTC,1d,0.024374554982920196,49.59%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,BTC,1d,0.02515583410658815,55.79%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.025551696309831184,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.02615671649512738,49.59%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.028697863811035156,48.76%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.02885872519583214,48.76%,"['volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.02891392197337313,55.79%,"['rsi', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.029287263450942208,50.83%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.02937838628764549,50.83%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
LSTM,BTC,1d,0.031324983967060994,55.37%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.03223909916738927,53.72%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,BTC,1d,0.03467596037324699,52.89%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
