Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
LSTM,ETH,1d,0.036755814723155644,51.65%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.037002238435987725,52.89%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03704832023420563,50.41%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03717614394385912,54.13%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03723749787668991,54.55%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.037314010188120667,54.96%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03733312047222782,52.48%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03741703896675408,49.59%,"['volatility', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03743615210673385,48.35%,"['bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03745025630649157,49.59%,"['log_ret_vol', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.0375274621425842,54.96%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03754358796190262,50.83%,"['volatility', 'rsi', 'log_ret_close']"
LSTM,ETH,1d,0.03757986181273744,51.65%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03758244050533366,51.24%,"['log_ret_vol', 'rsi', 'log_ret_close']"
LSTM,ETH,1d,0.03758572473199757,51.65%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.0375891672846444,47.52%,"['atr', 'log_ret_close']"
LSTM,ETH,1d,0.03759177791437136,51.65%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.0376198467504345,51.24%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03765786113724684,51.65%,"['rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03770624830471428,50.83%,"['volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.037788080282669154,53.31%,"['macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.0378600833901229,52.07%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.037872655983232174,52.89%,"['volatility', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03792244903720901,47.93%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03798203764041834,49.59%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03802489117036321,51.65%,"['volatility', 'log_ret_close']"
LSTM,ETH,1d,0.03805763741370773,48.76%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.038067743160177754,54.55%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.038097971065110654,48.76%,"['log_ret_vol', 'volatility', 'log_ret_close']"
LSTM,ETH,1d,0.03816005827115717,51.24%,"['bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03822913082963593,50.41%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03826210214840955,49.59%,"['rsi', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.038322782507702276,50.83%,"['log_ret_vol', 'log_ret_close']"
LSTM,ETH,1d,0.038328289370722884,51.65%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
LSTM,ETH,1d,0.03839180560820025,51.24%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03877993668024033,48.76%,['log_ret_close']
LSTM,ETH,1d,0.038926538829765246,50.83%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.038931550408250894,52.89%,"['volatility', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.0390116366823672,52.07%,"['macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03918799947185075,53.72%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03936187089127855,54.13%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03936831277364556,53.31%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.03940631585965401,57.44%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03941135515263064,54.13%,"['volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.03962657947467042,54.13%,"['volatility', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.03978462147014894,53.31%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03990207310180559,47.52%,"['rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.03991342454453636,52.48%,"['log_ret_vol', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.040143770419973135,50.00%,"['log_ret_vol', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.04024033630042649,50.83%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.04065709209815729,49.17%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.04066244588685438,48.35%,"['rsi', 'log_ret_close']"
LSTM,ETH,1d,0.04121698247370294,50.00%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.04129408247146253,51.24%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.04136021617658441,49.59%,"['rsi', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.041600017780381436,56.20%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.04160623156977779,49.59%,"['macd', 'log_ret_close']"
LSTM,ETH,1d,0.042626812781729445,53.31%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.042680360568344254,51.65%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
LSTM,ETH,1d,0.04299623356569633,48.76%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.044255116922640135,51.24%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.04647014104199311,50.41%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
LSTM,ETH,1d,0.05821437215716926,54.13%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
LSTM,ETH,1d,0.059490250122396136,54.13%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
