Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,BTC,1d,0.024435795973943998,52.07%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02455285387297859,47.11%,"['log_ret_vol', 'log_ret_close']"
log_ret_close,BTC,1d,0.024553564723107248,50.41%,"['volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.024564263028221303,47.52%,"['bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.024593995336640643,48.76%,"['log_ret_vol', 'volatility', 'log_ret_close']"
log_ret_close,BTC,1d,0.024637293671643717,46.28%,"['bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.024638678569600496,46.28%,"['log_ret_vol', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02464002311139309,46.28%,"['volatility', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.024673621995164832,46.28%,"['rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02477414960106506,47.52%,['log_ret_close']
log_ret_close,BTC,1d,0.02481126253057164,45.04%,"['volatility', 'log_ret_close']"
log_ret_close,BTC,1d,0.024847037743321164,53.31%,"['rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.02505848859724072,45.45%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025132626266086484,46.28%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02531439460342152,46.28%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025327012994996883,46.28%,"['atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025361766335607914,46.28%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02541926735957481,47.52%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025508604822457738,46.28%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.025636172250415246,47.52%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02577019266045893,46.28%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.02591158911559134,46.28%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.02609629595924186,46.28%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
