Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,ETH,1d,0.03758271935416065,51.65%,['log_ret_close']
log_ret_close,ETH,1d,0.03791626223017079,52.89%,"['log_ret_vol', 'log_ret_close']"
log_ret_close,ETH,1d,0.03793642911301629,50.83%,"['bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.038561223840810205,51.65%,"['volatility', 'log_ret_close']"
log_ret_close,ETH,1d,0.038595529196376405,47.93%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03861571397399493,49.59%,"['log_ret_vol', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03863169295028931,49.59%,"['volatility', 'rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03863993419898822,49.59%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03866508960361994,49.59%,"['volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03874293851163971,51.65%,"['rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.03889246480849657,51.65%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03903359913674151,49.59%,"['log_ret_vol', 'volatility', 'log_ret_close']"
log_ret_close,ETH,1d,0.03906343328124807,49.17%,"['rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03948185171237196,49.17%,"['rsi', 'log_ret_close']"
log_ret_close,ETH,1d,0.03987853405083254,49.59%,"['volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.03991251237951027,50.00%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.040145489635467865,49.59%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.040779573640425185,52.07%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.040900172296318475,48.76%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04091192262519133,48.76%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04139608399964343,50.83%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.042103902728920804,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.042206959188900287,50.41%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.042385925675127806,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.04240230435458173,50.41%,"['macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04280186972738466,49.17%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04285750790834292,47.52%,"['macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04336038484592992,48.35%,"['log_ret_vol', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04337609324502352,50.83%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04361219248912144,50.83%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04391952218257935,50.83%,"['volatility', 'macd', 'log_ret_close']"
log_ret_close,ETH,1d,0.04393340791309442,49.17%,"['atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04393358216816073,50.41%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.04405162956524093,49.17%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04481997840228815,49.17%,"['volatility', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.044849239027231584,52.48%,"['log_ret_vol', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.04526967319954373,47.93%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.0454546477971831,49.17%,"['bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04586910341650849,48.76%,"['log_ret_vol', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04599509504866964,50.41%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.046049482108422565,51.65%,"['macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.046216791184932625,50.00%,"['volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,ETH,1d,0.04744691025049496,49.17%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.047672351718876946,49.17%,"['log_ret_vol', 'volatility', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.04774428856585624,49.17%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.0488173836939927,49.17%,"['rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05006789150888533,47.93%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05142796860264443,48.35%,"['volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.0521044236999532,53.31%,"['log_ret_vol', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05416608819153652,49.59%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.054364462324854604,50.00%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05595121476662137,49.17%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05724954249058033,45.04%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.05895937792789208,49.17%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.06073512333004892,51.24%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.07094704202105644,55.37%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.07219966215652514,49.17%,"['volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.07405827996433643,49.17%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.07408952855612495,49.59%,"['rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.07566771608615927,52.07%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.09151481936026525,49.17%,"['volatility', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.09364802631989601,50.41%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.09579719790892256,47.93%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,ETH,1d,0.1285933873999943,51.24%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
