Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,BTC,1d,0.03000813105849403,50.83%,"['rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030076034338225283,47.52%,"['log_ret_vol', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030111990575979308,52.48%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.03013670783520093,52.89%,"['macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030139500179221644,52.48%,['log_ret_close']
log_ret_close,BTC,1d,0.030197395492730584,48.76%,"['volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030200204095324222,57.85%,"['rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.030214622440966264,48.76%,"['macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.03039917469920714,50.00%,"['rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030400824315188455,51.24%,"['log_ret_vol', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.030572263491827754,52.48%,"['log_ret_vol', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03064024360958294,52.48%,"['volatility', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.0306429785951974,51.65%,"['log_ret_vol', 'volatility', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030792209746065564,50.41%,"['rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030811453071006464,48.76%,"['log_ret_vol', 'volatility', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030836627715415586,52.48%,"['volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03096129266199275,51.65%,"['log_ret_vol', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.03096423174760307,51.24%,"['log_ret_vol', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030984478153160626,52.48%,"['volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.030996803543811714,49.17%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.031016700215284316,47.11%,"['atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031026534139981285,53.72%,"['log_ret_vol', 'rsi', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031027785213237492,50.83%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03104853626039446,52.07%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03106423864997622,47.93%,"['rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031083583376541598,52.48%,"['bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.03115479597639108,50.41%,"['log_ret_vol', 'volatility', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.031158034713639936,50.41%,"['volatility', 'rsi', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031193715988089843,50.41%,"['macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.031205239452633947,46.28%,"['log_ret_vol', 'volatility', 'rsi', 'macd', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03130816878170232,50.00%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03132166736710137,45.04%,"['log_ret_vol', 'rsi', 'bollinger_bands', 'atr', 'log_ret_close']"
